"artist","firstName","gender","itemInSession","lastName","length","level","location","sessionId","song","userId"
"Barry Tuckwell/Academy of St Martin-in-the-Fields/Sir Neville Marriner","Mohammad","M","0","Rodriguez","277.15873","paid","Sacramento--Roseville--Arden-Arcade, CA","961","Horn Concerto No. 4 in E flat K495: II. Romance (Andante cantabile)","88"
"Jimi Hendrix","Mohammad","M","1","Rodriguez","239.82975","paid","Sacramento--Roseville--Arden-Arcade, CA","961","Woodstock Inprovisation","88"
"Building 429","Mohammad","M","2","Rodriguez","300.61669","paid","Sacramento--Roseville--Arden-Arcade, CA","961","Majesty (LP Version)","88"
"The B-52's","Gianna","F","0","Jones","321.54077","free","New York-Newark-Jersey City, NY-NJ-PA","107","Love Shack","38"
"Die Mooskirchner","Gianna","F","1","Jones","169.29914","free","New York-Newark-Jersey City, NY-NJ-PA","107","Frisch und g'sund","38"
"Carrie Underwood","Gianna","F","2","Jones","195.70893","free","New York-Newark-Jersey City, NY-NJ-PA","107","Look At Me","38"
"No Te Va Gustar","Kaylee","F","0","Summers","246.43873","free","Phoenix-Mesa-Scottsdale, AZ","833","Ya EntendÃÂ­","8"
"The Velvet Underground / Nico","Kaylee","F","1","Summers","360.09751","free","Phoenix-Mesa-Scottsdale, AZ","833","All Tomorrow's Parties","8"
"Snoop Dogg / Jamie Foxx","Kaylee","F","2","Summers","179.35628","free","Phoenix-Mesa-Scottsdale, AZ","833","Psst!","8"
"Dixie Chicks","Kaylee","F","3","Summers","201.01179","free","Phoenix-Mesa-Scottsdale, AZ","833","There's Your Trouble","8"
"Linkin Park","Kaylee","F","5","Summers","189.28281","free","Phoenix-Mesa-Scottsdale, AZ","833","Given Up (Album Version)","8"
"Alice In Chains","Kevin","M","0","Arellano","239.35955","free","Harrisburg-Carlisle, PA","934","Take Her Out","66"
"Florence + The Machine","Anabelle","F","1","Simpson","176.69179","free","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","926","My Boy Builds Coffins","69"
"Spoon","Theodore","M","0","Smith","299.20608","free","Houston-The Woodlands-Sugar Land, TX","968","The Mystery Zone","52"
"Alice In Chains","Aiden","M","1","Hess","223.26812","free","La Crosse-Onalaska, WI-MN","917","Would?","86"
"Natalie Walker","Aiden","M","2","Hess","191.84281","free","La Crosse-Onalaska, WI-MN","917","Colorblind","86"
"Traveling Wilburys","Ava","F","0","Robinson","207.59465","free","New Haven-Milford, CT","940","End Of The Line","50"
"Cherokee","Chloe","F","0","Cuevas","414.6673","paid","San Francisco-Oakland-Hayward, CA","960","Relax","49"
"NOFX","Chloe","F","1","Cuevas","1099.78077","paid","San Francisco-Oakland-Hayward, CA","960","The Decline","49"
"Cameo","Chloe","F","2","Cuevas","211.98322","paid","San Francisco-Oakland-Hayward, CA","960","Word Up!","49"
"Natalia Lafourcade","Layla","F","0","Griffin","264.25424","paid","Lake Havasu City-Kingman, AZ","879","Look Outside","24"
"J Dilla","Layla","F","1","Griffin","232.46322","paid","Lake Havasu City-Kingman, AZ","879","Won't Do","24"
"Sergio Mendes","Layla","F","2","Griffin","254.85016","paid","Lake Havasu City-Kingman, AZ","879","Never Gonna Let You Go","24"
"Jarabe De Palo","Layla","F","3","Griffin","205.08689","paid","Lake Havasu City-Kingman, AZ","879","En Lo Puro No Hay Futuro","24"
"Carrie Underwood","Layla","F","4","Griffin","257.88036","paid","Lake Havasu City-Kingman, AZ","879","I Told You So","24"
"Enigma","Elijah","M","0","Davis","258.71628","free","Detroit-Warren-Dearborn, MI","138","Je T'aime Till My Dying Day","5"
"Kelly Clarkson","Layla","F","5","Griffin","221.09995","paid","Lake Havasu City-Kingman, AZ","879","The Trouble With Love Is","24"
"Timbaland & Magoo","Layla","F","6","Griffin","279.7971","paid","Lake Havasu City-Kingman, AZ","879","Put 'Em On","24"
"The Wombats","Elijah","M","1","Davis","69.95546","free","Detroit-Warren-Dearborn, MI","138","Tales of Girls_ Boys and Marsupials (album version)","5"
"Andrew Bird","Elijah","M","2","Davis","316.47302","free","Detroit-Warren-Dearborn, MI","138","Skin Is_ My","5"
"Colin James","Layla","F","8","Griffin","298.52689","paid","Lake Havasu City-Kingman, AZ","879","Just Came Back","24"
"Los Wawanco","Rylan","M","0","George","165.79873","paid","Birmingham-Hoover, AL","871","La Casita Blanca","16"
"Dancing DJ's v Roxette","Layla","F","9","Griffin","370.78159","paid","Lake Havasu City-Kingman, AZ","879","Fading Like A Flower (Extended Mix)","24"
"Robert Rich & Alio Die","Layla","F","10","Griffin","375.92771","paid","Lake Havasu City-Kingman, AZ","879","Sirena","24"
"Gabin featuring China Moses","Layla","F","11","Griffin","249.36444","paid","Lake Havasu City-Kingman, AZ","879","The Other Way Round (Feat. China Moses)","24"
"Los Lobos","Aiden","M","0","Hess","174.18404","free","La Crosse-Onalaska, WI-MN","978","La Bamba","86"
"Robert Pollard","Aiden","M","1","Hess","202.91873","free","La Crosse-Onalaska, WI-MN","978","We All Got Out (of the Army)","86"
"MÃÂ¥ns ZelmerlÃÂ¶w","Aiden","M","2","Hess","206.96771","free","La Crosse-Onalaska, WI-MN","978","Brother Oh Brother","86"
"Shakira","Aiden","M","3","Hess","192.70485","free","La Crosse-Onalaska, WI-MN","978","Did it Again","86"
"Showbread","Aiden","M","4","Hess","297.58649","free","La Crosse-Onalaska, WI-MN","978","The Pig","86"
"DHT Feat. EdmÃÂ©e","Chloe","F","1","Cuevas","229.98159","paid","San Francisco-Oakland-Hayward, CA","982","Listen To Your Heart","49"
"Bersuit Vergarabat","Chloe","F","2","Cuevas","212.40118","paid","San Francisco-Oakland-Hayward, CA","982","Yo Tomo","49"
"La Roux","Chloe","F","3","Cuevas","185.65179","paid","San Francisco-Oakland-Hayward, CA","982","Quicksand","49"
"Conjure One","Chloe","F","4","Cuevas","300.09424","paid","San Francisco-Oakland-Hayward, CA","982","Center Of The Sun","49"
"Graham Colton","Chloe","F","5","Cuevas","235.10159","paid","San Francisco-Oakland-Hayward, CA","982","On Your Side","49"
"The Starting Line","Chloe","F","6","Cuevas","207.85587","paid","San Francisco-Oakland-Hayward, CA","982","I'm Real","49"
"Jimmy Eat World","Chloe","F","7","Cuevas","385.802","paid","San Francisco-Oakland-Hayward, CA","982","Drugs Or Me","49"
"Pull Tiger Tail","Chloe","F","8","Cuevas","239.882","paid","San Francisco-Oakland-Hayward, CA","982","Hurricanes","49"
"OneRepublic","Chloe","F","9","Cuevas","224.67873","paid","San Francisco-Oakland-Hayward, CA","982","Secrets","49"
"Hannah Montana","Chloe","F","10","Cuevas","174.00118","paid","San Francisco-Oakland-Hayward, CA","982","The Best Of Both Worlds","49"
